Tax Year,Place of Residence,County,Number of All Returns,NY AGI of All Returns (in thousands) *,Average NY AGI of Nontaxable Returns,County Sort Order
1999,New York City - Bronx,Bronx,427443,11701984000,9295,1
1999,New York City - Kings,Kings,853382,28369452000,8744,2
1999,New York City - Manhattan,Manhattan,737735,80303119000,8718,3
1999,New York City - Queens,Queens,839792,28512126000,8223,4
1999,New York City - Richmond,Richmond,173755,8181117000,6670,5
1999,"Total, New York City","Total, New York City",3032107,1.57E+11,8605,6
2000,New York City - Bronx,Bronx,476409,13199855000,9676,1
2000,New York City - Kings,Kings,922058,32105687000,9053,2
2000,New York City - Manhattan,Manhattan,761759,1.00E+11,8955,3
2000,New York City - Queens,Queens,891673,31456520000,8484,4
2000,New York City - Richmond,Richmond,185897,9161626000,7020,5
2000,"Total, New York City","Total, New York City",3237796,1.86E+11,8916,6
2001,New York City - Bronx,Bronx,475515,13372545000,10051,1
2001,New York City - Kings,Kings,915872,31845251000,9326,2
2001,New York City - Manhattan,Manhattan,742306,84451495000,9101,3
2001,New York City - Queens,Queens,880485,31083505000,8658,4
2001,New York City - Richmond,Richmond,188038,9374845000,7246,5
2001,"Total, New York City","Total, New York City",3202216,1.70E+11,9152,6
2002,New York City - Bronx,Bronx,477818,13566673000,10470,1
2002,New York City - Kings,Kings,914902,31667442000,9662,2
2002,New York City - Manhattan,Manhattan,742161,74750096000,9316,3
2002,New York City - Queens,Queens,876491,30920784000,8942,4
2002,New York City - Richmond,Richmond,189472,9376512000,7659,5
2002,"Total, New York City","Total, New York City",3200844,1.60E+11,9465,6
2003,New York City - Bronx,Bronx,478071,13632258000,11141,1
2003,New York City - Kings,Kings,914197,32245929000,7974,2
2003,New York City - Manhattan,Manhattan,751114,80643097000,9479,3
2003,New York City - Queens,Queens,881055,31198380000,1303,4
2003,New York City - Richmond,Richmond,189144,9502637000,73440,5
2003,"Total, New York City","Total, New York City",3213581,1.67E+11,9895,6
2004,New York City - Bronx,Bronx,476420,14007490000,11269,1
2004,New York City - Kings,Kings,915264,34007963000,10322,2
2004,New York City - Manhattan,Manhattan,775509,98590838000,10344,3
2004,New York City - Queens,Queens,883712,32447957000,9407,4
2004,New York City - Richmond,Richmond,189813,9784704000,8374,5
2004,"Total, New York City","Total, New York City",3240718,1.89E+11,10171,6
2005,New York City - Bronx,Bronx,490480,14669534000,11415,1
2005,New York City - Kings,Kings,929676,36341922000,10539,2
2005,New York City - Manhattan,Manhattan,783085,1.14E+11,9616,3
2005,New York City - Queens,Queens,900532,34103444000,9616,4
2005,New York City - Richmond,Richmond,190353,10121513000,8906,5
2005,"Total, New York City","Total, New York City",3294126,2.09E+11,10314,6
2006,New York City - Bronx,Bronx,520305,16014542000,12685,1
2006,New York City - Kings,Kings,958014,40151021000,11870,2
2006,New York City - Manhattan,Manhattan,820704,1.35E+11,12216,3
2006,New York City - Queens,Queens,924347,36725868000,10977,4
2006,New York City - Richmond,Richmond,190835,10739265000,10700,5
2006,"Total, New York City","Total, New York City",3414205,2.39E+11,11799,6
2007,"Total, New York City","Total, New York City",3605841,2.89E+11,11290,6
2007,New York City - Richmond,Richmond,199026,11405075000,10576,5
2007,New York City - Queens,Queens,975684,39500794000,10721,4
2007,New York City - Manhattan,Manhattan,849680,1.77E+11,10994,3
2007,New York City - Kings,Kings,1022418,44324065000,11537,2
2007,New York City - Bronx,Bronx,559033,17384899000,12113,1
2008,New York City - Richmond,Richmond,200577,11349070000,8158,5
2008,New York City - Bronx,Bronx,574745,17604768000,10621,1
2008,New York City - Kings,Kings,1024533,44147289000,9428,2
2008,New York City - Manhattan,Manhattan,790904,1.38E+11,-10509,3
2008,New York City - Queens,Queens,990356,40815068000,9571,4
2008,"Total, New York City","Total, New York City",3581115,2.52E+11,6256,6
2009,New York City - Bronx,Bronx,563081,17401612000,11407,1
2009,New York City - Kings,Kings,1031238,42614615000,9564,2
2009,New York City - Manhattan,Manhattan,786187,1.11E+11,-12240,3
2009,New York City - Queens,Queens,997471,39119622000,9537,4
2009,New York City - Richmond,Richmond,200889,11026815000,7665,5
2009,"Total, New York City","Total, New York City",3578866,2.21E+11,6112,6
2010,New York City - Bronx,Bronx,575413,17589666000,10970,1
2010,New York City - Kings,Kings,1056904,45113438000,9068,2
2010,New York City - Manhattan,Manhattan,797364,1.27E+11,-11968,3
2010,New York City - Queens,Queens,1011216,40119505000,9258,4
2010,New York City - Richmond,Richmond,202362,11183369000,7249,5
2010,"Total, New York City","Total, New York City",3643259,2.41E+11,5899,6
2011,"Total, New York City","Total, New York City",3709141,2.48E+11,5384,6
2011,New York City - Bronx,Bronx,588674,17626369000,10063,1
2011,New York City - Kings,Kings,1078520,48145626000,8685,2
2011,New York City - Manhattan,Manhattan,808917,1.29E+11,-13802,3
2011,New York City - Queens,Queens,1028443,41248512000,9290,4
2011,New York City - Richmond,Richmond,204587,11442144000,6921,5
2012,New York City - Bronx,Bronx,577837,17906729000,10455,1
2012,New York City - Kings,Kings,1087718,49694070000,8558,2
2012,New York City - Manhattan,Manhattan,861500,1.57E+11,-12315,3
2012,New York City - Queens,Queens,1025814,42278955000,9556,4
2012,New York City - Richmond,Richmond,202326,11488790000,8142,5
2012,"Total, New York City","Total, New York City",3755195,2.79E+11,5645,6
2013,New York City - Bronx,Bronx,598179,18266100000,10340,1
2013,New York City - Kings,Kings,1115853,52632202000,9090,2
2013,New York City - Manhattan,Manhattan,872112,1.55E+11,-8090,3
2013,New York City - Queens,Queens,1049290,43851715000,9446,4
2013,New York City - Richmond,Richmond,204791,11648664000,7639,5
2013,"Total, New York City","Total, New York City",3840225,2.81E+11,6536,6
2014,New York City - Kings,Kings,1138249,56877626000,8828,2
2014,New York City - Manhattan,Manhattan,885829,1.77E+11,-8964,3
2014,New York City - Queens,Queens,1070559,46877014000,9509,4
2014,New York City - Richmond,Richmond,207277,12207326000,7829,5
2014,"Total, New York City","Total, New York City",3918554,3.13E+11,6379,6
2014,New York City - Bronx,Bronx,616640,19385426000,10355,1
2015,New York City - Richmond,Richmond,211544,13011916466,,5
2015,New York City - Queens,Queens,1095866,49849700127,,4
2015,New York City - Manhattan,Manhattan,894142,1.80E+11,,3
2015,New York City - Kings,Kings,1166524,61243415265,,2
2015,All New York City,All New York City,3997278,3.25E+11,,6
2015,New York City - Bronx,Bronx,629202,20359831495,,1
2016,All New York City,All New York City,4018176,3.13E+11,,6
2016,New York City - Richmond,Richmond,213167,13194172423,,5
2016,New York City - Queens,Queens,1107052,51003801795,,4
2016,New York City - Kings,Kings,1174830,63427549838,,2
2016,New York City - Bronx,Bronx,632161,21003380941,,1
2016,New York City - Manhattan,Manhattan,890966,1.65E+11,,3
2017,All New York City,All New York City,4079675,3.64E+11,,6
2017,New York City - Richmond,Richmond,216263,13660378324,,5
2017,New York City - Queens,Queens,1123863,53794850729,,4
2017,New York City - Kings,Kings,1198391,68501524878,,2
2017,New York City - Bronx,Bronx,642741,22329704885,,1
2017,New York City - Manhattan,Manhattan,898417,2.06E+11,,3
2018,New York City - Richmond,Richmond,218607,14391627442,,5
2018,New York City - Queens,Queens,1131922,57052415164,,4
2018,New York City - Manhattan,Manhattan,903573,1.99E+11,,3
2018,New York City - Kings,Kings,1206121,74429402682,,2
2018,New York City - Bronx,Bronx,647460,23657917556,,1
2018,All New York City,All New York City,4107683,3.69E+11,,6
2019,New York City - Bronx,Bronx,653103,25281641853,,1
2019,New York City - Kings,Kings,1222709,79364281298,,2
2019,New York City - Manhattan,Manhattan,908860,2.03E+11,,3
2019,New York City - Queens,Queens,1144592,59946962886,,4
2019,New York City - Richmond,Richmond,221462,14782271459,,5
2019,All New York City,All New York City,4150726,3.82E+11,,6
2020,New York City - Bronx,Bronx,684474,26879847167,,1
